59, CA,House,Democrat,District 39,Gil Cisneros,https://votesmart.org/candidate/179370/gil-cisneros
60, CA,House,Democrat,District 40,Lucille Roybal-Allard,https://votesmart.org/candidate/26766/lucille-roybal-allard
61, CA,House,Democrat,District 41,Mark Takano,https://votesmart.org/candidate/22337/mark-takano
62, CA,House,Democrat,District 43,Maxine Waters,https://votesmart.org/candidate/26759/maxine-waters
63, CA,House,Democrat,District 44,Nanette Barragan,https://votesmart.org/candidate/166270/nanette-barragan
64, CA,House,Democrat,District 45,Katie Porter,https://votesmart.org/candidate/179393/katie-porter
65, CA,House,Democrat,District 46,Lou Correa,https://votesmart.org/candidate/9732/lou-correa
66, CA,House,Democrat,District 47,Alan Lowenthal,https://votesmart.org/candidate/16469/alan-lowenthal
67, CA,House,Democrat,District 48,Harley Rouda,https://votesmart.org/candidate/179404/harley-rouda
68, CA,House,Democrat,District 49,Mike Levin,https://votesmart.org/candidate/179416/mike-levin
69, CA,House,Democrat,District 5,Mike Thompson,https://votesmart.org/candidate/3564/mike-thompson
70, CA,House,Democrat,District 51,Juan Vargas,https://votesmart.org/candidate/29100/juan-vargas
71, CA,House,Democrat,District 52,Scott Peters,https://votesmart.org/candidate/70351/scott-peters
72, CA,House,Democrat,District 53,Susan Davis,https://votesmart.org/candidate/8168/susan-davis
73, CA,House,Democrat,District 6,Doris Matsui,https://votesmart.org/candidate/28593/doris-matsui
74, CA,House,Democrat,District 7,Ami Bera,https://votesmart.org/candidate/120030/ami-bera
75, CA,House,Democrat,District 9,Jerry McNerney,https://votesmart.org/candidate/29474/jerry-mcnerney
76, CA,House,Republican,District 1,Doug LaMalfa,https://votesmart.org/candidate/29713/doug-lamalfa
77, CA,House,Republican,District 22,Devin Nunes,https://votesmart.org/candidate/16725/devin-nunes
78, CA,House,Republican,District 23,Kevin McCarthy,https://votesmart.org/candidate/28918/kevin-mccarthy
79, CA,House,Republican,District 4,Tom McClintock,https://votesmart.org/candidate/9715/tom-mcclintock
80, CA,House,Republican,District 42,Ken Calvert,https://votesmart.org/candidate/26777/ken-calvert
81, CA,House,Republican,District 8,Paul Cook,https://votesmart.org/candidate/58121/paul-cook
82, CA,Senate,Democrat,Junior,Kamala Harris,https://votesmart.org/candidate/120012/kamala-harris
83, CA,Senate,Democrat,Senior,Dianne Feinstein,https://votesmart.org/candidate/53273/dianne-feinstein
84, CO,House,Democrat,District 1,Diana DeGette,https://votesmart.org/candidate/561/diana-degette
85, CO,House,Democrat,District 2,Joseph Neguse,https://votesmart.org/candidate/151075/joseph-neguse
86, CO,House,Democrat,District 6,Jason Crow,https://votesmart.org/candidate/180218/jason-crow
87, CO,House,Democrat,District 7,Ed Perlmutter,https://votesmart.org/candidate/2653/ed-perlmutter
88, CO,House,Republican,District 3,Scott Tipton,https://votesmart.org/candidate/65403/scott-tipton
89, CO,House,Republican,District 4,Ken Buck,https://votesmart.org/candidate/125319/ken-buck
90, CO,House,Republican,District 5,Doug Lamborn,https://votesmart.org/candidate/2698/doug-lamborn
91, CO,Senate,Democrat,Senior,Michael Bennet,https://votesmart.org/candidate/110942/michael-bennet
92, CO,Senate,Republican,Junior,Cory Gardner,https://votesmart.org/candidate/30004/cory-gardner
93, CT,House,Democrat,District 1,John Larson,https://votesmart.org/candidate/17188/john-larson
94, CT,House,Democrat,District 2,Joe Courtney,https://votesmart.org/candidate/30333/joe-courtney
95, CT,House,Democrat,District 3,Rosa DeLauro,https://votesmart.org/candidate/26788/rosa-delauro
96, CT,House,Democrat,District 4,Jim Himes,https://votesmart.org/candidate/106744/jim-himes
97, CT,House,Democrat,District 5,Jahana Hayes,https://votesmart.org/candidate/181744/jahana-hayes
98, CT,Senate,Democrat,Junior,Chris Murphy,https://votesmart.org/candidate/17189/chris-murphy
99, CT,Senate,Democrat,Senior,Richard Blumenthal,https://votesmart.org/candidate/1568/richard-blumenthal
100,DC,House,Democrat,At-Large,Eleanor Norton,https://votesmart.org/candidate/775/eleanor-norton
101,DE,House,Democrat,At-Large,Lisa Blunt Rochester,https://votesmart.org/candidate/173249/lisa-blunt-rochester
102,DE,Senate,Democrat,Junior,Chris Coons,https://votesmart.org/candidate/122834/chris-coons
103,DE,Senate,Democrat,Senior,Tom Carper,https://votesmart.org/candidate/22421/tom-carper
104,FL,House,Democrat,District 10,Val Demings,https://votesmart.org/candidate/137637/val-demings
105,FL,House,Democrat,District 13,Charlie Crist Jr.,https://votesmart.org/candidate/24311/charlie-crist-jr
106,FL,House,Democrat,District 14,Kathy Castor,https://votesmart.org/candidate/53825/kathy-castor
107,FL,House,Democrat,District 20,Alcee Hastings Sr.,https://votesmart.org/candidate/26798/alcee-hastings-sr
108,FL,House,Democrat,District 21,Lois Frankel,https://votesmart.org/candidate/8102/lois-frankel
109,FL,House,Democrat,District 22,Ted Deutch,https://votesmart.org/candidate/67151/ted-deutch
110,FL,House,Democrat,District 23,Debbie Wasserman Schultz,https://votesmart.org/candidate/24301/debbie-wasserman-schultz
111,FL,House,Democrat,District 24,Frederica Wilson,https://votesmart.org/candidate/17319/frederica-wilson
112,FL,House,Democrat,District 26,Debbie Mucarsel-Powell,https://votesmart.org/candidate/173449/debbie-mucarsel-powell
113,FL,House,Democrat,District 27,Donna Shalala,https://votesmart.org/candidate/182301/donna-shalala
114,FL,House,Democrat,District 5,Al Lawson Jr.,https://votesmart.org/candidate/24263/al-lawson-jr
115,FL,House,Democrat,District 7,Stephanie Murphy,https://votesmart.org/candidate/173426/stephanie-murphy
116,FL,House,Democrat,District 9,Darren Soto,https://votesmart.org/candidate/67618/darren-soto
117,FL,House,Republican,District 1,Matt Gaetz,https://votesmart.org/candidate/117101/matt-gaetz
118,FL,House,Republican,District 11,Daniel Webster,https://votesmart.org/candidate/24302/daniel-webster
119,FL,House,Republican,District 12,Gus Bilirakis,https://votesmart.org/candidate/17318/gus-bilirakis
120,FL,House,Republican,District 15,Ross Spano,https://votesmart.org/candidate/142164/ross-spano
121,FL,House,Republican,District 16,Vern Buchanan,https://votesmart.org/candidate/66247/vern-buchanan
122,FL,House,Republican,District 17,Greg Steube,https://votesmart.org/candidate/117248/greg-steube
123,FL,House,Republican,District 18,Brian Mast,https://votesmart.org/candidate/166245/brian-mast
124,FL,House,Republican,District 19,Francis Rooney,https://votesmart.org/candidate/172678/francis-rooney
125,FL,House,Republican,District 2,Neal Dunn,https://votesmart.org/candidate/166297/neal-dunn
126,FL,House,Republican,District 25,Mario Diaz-Balart,https://votesmart.org/candidate/24312/mario-diaz-balart
127,FL,House,Republican,District 3,Ted Yoho,https://votesmart.org/candidate/137622/ted-yoho
128,FL,House,Republican,District 4,John Rutherford,https://votesmart.org/candidate/172542/john-rutherford
129,FL,House,Republican,District 6,Michael Waltz,https://votesmart.org/candidate/182261/michael-waltz
130,FL,House,Republican,District 8,Bill Posey,https://votesmart.org/candidate/24280/bill-posey
131,FL,Senate,Republican,Junior,Rick Scott,https://votesmart.org/candidate/124204/rick-scott
132,FL,Senate,Republican,Senior,Marco Rubio,https://votesmart.org/candidate/1601/marco-rubio
133,GA,House,Democrat,District 13,David Scott,https://votesmart.org/candidate/7826/david-scott
134,GA,House,Democrat,District 2,Sanford Bishop Jr.,https://votesmart.org/candidate/26817/sanford-bishop-jr
135,GA,House,Democrat,District 4,Hank Johnson Jr.,https://votesmart.org/candidate/68070/hank-johnson-jr
136,GA,House,Democrat,District 5,John Lewis,https://votesmart.org/candidate/26820/john-lewis
137,GA,House,Democrat,District 6,Lucy McBath,https://votesmart.org/candidate/178538/lucy-mcbath
138,GA,House,Republican,District 1,Buddy Carter,https://votesmart.org/candidate/32085/buddy-carter
139,GA,House,Republican,District 10,Jody Hice,https://votesmart.org/candidate/122246/jody-hice
140,GA,House,Republican,District 11,Barry Loudermilk,https://votesmart.org/candidate/31618/barry-loudermilk
141,GA,House,Republican,District 12,Rick Allen,https://votesmart.org/candidate/136062/rick-allen
142,GA,House,Republican,District 14,Tom Graves Jr.,https://votesmart.org/candidate/31969/tom-graves-jr
143,GA,House,Republican,District 3,Drew Ferguson,https://votesmart.org/candidate/168132/drew-ferguson
144,GA,House,Republican,District 7,Rob Woodall,https://votesmart.org/candidate/122251/rob-woodall
145,GA,House,Republican,District 8,Austin Scott,https://votesmart.org/candidate/11812/austin-scott
146,GA,House,Republican,District 9,Doug Collins,https://votesmart.org/candidate/67851/doug-collins
147,GA,Senate,Republican,Junior,Kelly Loeffler,https://votesmart.org/candidate/188718/kelly-loeffler
148,GA,Senate,Republican,Senior,David Perdue,https://votesmart.org/candidate/151330/david-perdue
149,GU,House,Democrat,At-Large,Michael San Nicolas,https://votesmart.org/candidate/185972/michael-san-nicolas
150,HI,House,Democrat,District 1,Edward Case,https://votesmart.org/candidate/3422/edward-case
151,HI,House,Democrat,District 2,Tulsi Gabbard,https://votesmart.org/candidate/129306/tulsi-gabbard
152,HI,Senate,Democrat,Junior,Mazie Hirono,https://votesmart.org/candidate/1677/mazie-hirono
153,HI,Senate,Democrat,Senior,Brian Schatz,https://votesmart.org/candidate/17852/brian-schatz
154,IA,House,Democrat,District 1,Abby Finkenauer,https://votesmart.org/candidate/151127/abby-finkenauer
155,IA,House,Democrat,District 2,Dave Loebsack,https://votesmart.org/candidate/68964/dave-loebsack
156,IA,House,Democrat,District 3,Cindy Axne,https://votesmart.org/candidate/179226/cindy-axne
157,IA,House,Republican,District 4,Steve King,https://votesmart.org/candidate/10853/steve-king
158,IA,Senate,Republican,Junior,Joni Ernst,https://votesmart.org/candidate/128583/joni-ernst
159,IA,Senate,Republican,Senior,Chuck Grassley,https://votesmart.org/candidate/53293/chuck-grassley
160,ID,House,Republican,District 1,Russ Fulcher,https://votesmart.org/candidate/33091/russ-fulcher
161,ID,House,Republican,District 2,Mike Simpson,https://votesmart.org/candidate/2917/mike-simpson
162,ID,Senate,Republican,Junior,James Risch,https://votesmart.org/candidate/2919/james-risch
163,ID,Senate,Republican,Senior,Mike Crapo,https://votesmart.org/candidate/26830/mike-crapo
164,IL,House,Democrat,District 1,Bobby Rush,https://votesmart.org/candidate/26831/bobby-rush
165,IL,House,Democrat,District 10,Brad Schneider,https://votesmart.org/candidate/134948/brad-schneider
166,IL,House,Democrat,District 11,Bill Foster,https://votesmart.org/candidate/101632/bill-foster
167,IL,House,Democrat,District 14,Lauren Underwood,https://votesmart.org/candidate/177001/lauren-underwood
168,IL,House,Democrat,District 17,Cheri Bustos,https://votesmart.org/candidate/134964/cheri-bustos
169,IL,House,Democrat,District 2,Robin Kelly,https://votesmart.org/candidate/33384/robin-kelly
170,IL,House,Democrat,District 3,Daniel Lipinski,https://votesmart.org/candidate/33692/daniel-lipinski
171,IL,House,Democrat,District 4,Jesus Garcia,https://votesmart.org/candidate/6261/jesus-garcia
172,IL,House,Democrat,District 5,Mike Quigley,https://votesmart.org/candidate/83310/mike-quigley
173,IL,House,Democrat,District 6,Sean Casten,https://votesmart.org/candidate/176982/sean-casten
174,IL,House,Democrat,District 7,Danny Davis,https://votesmart.org/candidate/233/danny-davis
175,IL,House,Democrat,District 8,Raja Krishnamoorthi,https://votesmart.org/candidate/117519/raja-krishnamoorthi
176,IL,House,Democrat,District 9,Jan Schakowsky,https://votesmart.org/candidate/6387/jan-schakowsky
177,IL,House,Republican,District 12,Mike Bost,https://votesmart.org/candidate/6302/mike-bost
178,IL,House,Republican,District 13,Rodney Davis,https://votesmart.org/candidate/9622/rodney-davis
179,IL,House,Republican,District 15,John Shimkus,https://votesmart.org/candidate/246/john-shimkus
180,IL,House,Republican,District 16,Adam Kinzinger,https://votesmart.org/candidate/116559/adam-kinzinger
181,IL,House,Republican,District 18,Darin LaHood,https://votesmart.org/candidate/128760/darin-lahood
182,IL,Senate,Democrat,Junior,Tammy Duckworth,https://votesmart.org/candidate/57442/tammy-duckworth
183,IL,Senate,Democrat,Senior,Dick Durbin,https://votesmart.org/candidate/26847/dick-durbin
184,IN,House,Democrat,District 1,Pete Visclosky,https://votesmart.org/candidate/26851/pete-visclosky
185,IN,House,Democrat,District 7,Andre Carson,https://votesmart.org/candidate/84917/andre-carson
186,IN,House,Republican,District 2,Jackie Walorski,https://votesmart.org/candidate/34205/jackie-walorski
187,IN,House,Republican,District 3,Jim Banks,https://votesmart.org/candidate/116801/jim-banks
188,IN,House,Republican,District 4,Jim Baird,https://votesmart.org/candidate/86013/jim-baird
189,IN,House,Republican,District 5,Susan Brooks,https://votesmart.org/candidate/135988/susan-brooks
190,IN,House,Republican,District 6,Greg Pence,https://votesmart.org/candidate/177876/greg-pence
191,IN,House,Republican,District 8,Larry Bucshon,https://votesmart.org/candidate/120335/larry-bucshon
192,IN,House,Republican,District 9,Trey Hollingsworth,https://votesmart.org/candidate/167423/trey-hollingsworth
193,IN,Senate,Republican,Junior,Mike Braun,https://votesmart.org/candidate/148564/mike-braun
194,IN,Senate,Republican,Senior,Todd Young,https://votesmart.org/candidate/120345/todd-young
195,KS,House,Democrat,District 3,Sharice Davids,https://votesmart.org/candidate/181201/sharice-davids
196,KS,House,Republican,District 1,Roger Marshall,https://votesmart.org/candidate/172080/roger-marshall
197,KS,House,Republican,District 2,Steven Watkins Jr.,https://votesmart.org/candidate/181200/steven-watkins-jr
198,KS,House,Republican,District 4,Ron Estes,https://votesmart.org/candidate/125031/ron-estes
199,KS,Senate,Republican,Junior,Jerry Moran,https://votesmart.org/candidate/542/jerry-moran
200,KS,Senate,Republican,Senior,Pat Roberts,https://votesmart.org/candidate/26866/pat-roberts
201,KY,House,Democrat,District 3,John Yarmuth,https://votesmart.org/candidate/58579/john-yarmuth
202,KY,House,Republican,District 1,James Comer Jr.,https://votesmart.org/candidate/35169/james-comer-jr
203,KY,House,Republican,District 2,Brett Guthrie,https://votesmart.org/candidate/18829/brett-guthrie
204,KY,House,Republican,District 4,Thomas Massie,https://votesmart.org/candidate/132068/thomas-massie
205,KY,House,Republican,District 5,Hal Rogers,https://votesmart.org/candidate/26875/hal-rogers
206,KY,House,Republican,District 6,Andy Barr,https://votesmart.org/candidate/117290/andy-barr
207,KY,Senate,Republican,Junior,Rand Paul,https://votesmart.org/candidate/117285/rand-paul
208,KY,Senate,Republican,Senior,Mitch McConnell,https://votesmart.org/candidate/53298/mitch-mcconnell
209,LA,House,Democrat,District 2,Cedric Richmond,https://votesmart.org/candidate/35384/cedric-richmond
210,LA,House,Republican,District 1,Steve Scalise,https://votesmart.org/candidate/9026/steve-scalise
211,LA,House,Republican,District 3,Clay Higgins,https://votesmart.org/candidate/174484/clay-higgins
212,LA,House,Republican,District 4,Mike Johnson,https://votesmart.org/candidate/156097/mike-johnson
213,LA,House,Republican,District 5,Ralph Abraham,https://votesmart.org/candidate/155414/ralph-abraham
214,LA,House,Republican,District 6,Garret Graves,https://votesmart.org/candidate/155424/garret-graves
215,LA,Senate,Republican,Junior,John Kennedy,https://votesmart.org/candidate/35496/john-kennedy
216,LA,Senate,Republican,Senior,Bill Cassidy,https://votesmart.org/candidate/69494/bill-cassidy
217,MA,House,Democrat,District 1,Richard Neal,https://votesmart.org/candidate/26895/richard-neal
218,MA,House,Democrat,District 2,Jim McGovern,https://votesmart.org/candidate/552/jim-mcgovern
219,MA,House,Democrat,District 3,Lori Trahan,https://votesmart.org/candidate/182310/lori-trahan
220,MA,House,Democrat,District 4,Joe Kennedy III,https://votesmart.org/candidate/141275/joe-kennedy-iii
221,MA,House,Democrat,District 5,Katherine Clark,https://votesmart.org/candidate/35858/katherine-clark
222,MA,House,Democrat,District 6,Seth Moulton,https://votesmart.org/candidate/146299/seth-moulton
223,MA,House,Democrat,District 7,Ayanna Pressley,https://votesmart.org/candidate/122700/ayanna-pressley
224,MA,House,Democrat,District 8,Stephen Lynch,https://votesmart.org/candidate/4844/stephen-lynch
225,MA,House,Democrat,District 9,Bill Keating,https://votesmart.org/candidate/4743/bill-keating
226,MA,Senate,Democrat,Junior,Ed Markey,https://votesmart.org/candidate/26900/ed-markey
227,MA,Senate,Democrat,Senior,Elizabeth Warren,https://votesmart.org/candidate/141272/elizabeth-warren
228,MD,House,Democrat,District 2,Dutch Ruppersberger,https://votesmart.org/candidate/36130/dutch-ruppersberger
229,MD,House,Democrat,District 3,John Sarbanes,https://votesmart.org/candidate/66575/john-sarbanes
230,MD,House,Democrat,District 4,Anthony Brown,https://votesmart.org/candidate/19344/anthony-brown
231,MD,House,Democrat,District 5,Steny Hoyer,https://votesmart.org/candidate/26890/steny-hoyer
232,MD,House,Democrat,District 6,David Trone,https://votesmart.org/candidate/167336/david-trone
233,MD,House,Democrat,District 8,Jamie Raskin,https://votesmart.org/candidate/65904/jamie-raskin
234,MD,House,Republican,District 1,Andy Harris,https://votesmart.org/candidate/19157/andy-harris
235,MD,Senate,Democrat,Junior,Chris Van Hollen Jr.,https://votesmart.org/candidate/6098/chris-van-hollen-jr
